policy,feature,VIF,R2_against_other_features,interpretation
shared_semantic_recoding_50_percent,cement,3.8088235251600673,0.7374517371586612,acceptable
shared_semantic_recoding_50_percent,sand,3.169717751977181,0.684514496795108,acceptable
shared_semantic_recoding_50_percent,fiber1_diameter,3.1100042023609435,0.6784570261220692,acceptable
shared_semantic_recoding_50_percent,fly_ash,2.8862590131682007,0.6535307484748862,acceptable
shared_semantic_recoding_50_percent,fiber1_length,2.3706207681012224,0.5781695607092137,acceptable
shared_semantic_recoding_50_percent,ggbfs,2.061310701298287,0.5148717758219737,acceptable
shared_semantic_recoding_50_percent,water,2.0154680464942762,0.503837333596328,acceptable
shared_semantic_recoding_50_percent,fiber1_amount,1.942903948066147,0.48530651708472694,acceptable
shared_semantic_recoding_50_percent,quartz_powder,1.9164189699145266,0.4781934348914316,acceptable
shared_semantic_recoding_50_percent,glass_powder,1.835014795545736,0.455045265887026,acceptable
shared_semantic_recoding_50_percent,silica_fume,1.8094445513462567,0.44734421441321126,acceptable
shared_semantic_recoding_50_percent,filler,1.7653122973095308,0.43352799302192846,acceptable
shared_semantic_recoding_50_percent,limestone_powder,1.4343463010367368,0.3028182948028617,acceptable
shared_semantic_recoding_50_percent,sand_max_size,1.4069731655523545,0.28925439057153846,acceptable
shared_semantic_recoding_50_percent,slag,1.3735166032144182,0.27194181878856316,acceptable
shared_semantic_recoding_50_percent,metakaolin,1.2714335500639358,0.21348622588281263,acceptable
shared_semantic_recoding_50_percent,sp_amount,1.255041096977689,0.20321334304658467,acceptable
shared_semantic_recoding_50_percent,curing_temp,1.2361927274340296,0.19106464727736738,acceptable
shared_semantic_recoding_50_percent,nano_sio2,1.1242626002785034,0.1105280921447721,acceptable
shared_semantic_recoding_50_percent,rice_husk_ash,1.103220575258604,0.09356295338709408,acceptable
shared_semantic_recoding_50_percent,nano_caco3,1.0838709950020793,0.0773809755854925,acceptable
shared_semantic_recoding_50_percent,fiber2_amount,1.0638688872819857,0.06003454753260107,acceptable
shared_semantic_recoding_50_percent,nano_tio2,1.0068637750248213,0.006816984774978274,acceptable
shared_semantic_recoding_50_percent,nano_al2o3,1.005735783403461,0.005703071818774275,acceptable
