Cement,Slag,FlyAsh,Water,Superplasticizer,CoarseAggregate,FineAggregate,Age,Strength,TotalBinder,WaterToCement,WaterToBinder,SPToBinder,FlyAshToBinder,SlagToBinder
172.38,13.61,172.37,156.76,4.14,1006.3,856.4,14.0,29.7508894,358.36,0.9093862397029817,0.4374372139747739,0.011552628641589461,0.48099676303158834,0.037978569036722844
289.0,0.0,0.0,192.0,0.0,913.2,895.3,28.0,25.573354316,289.0,0.6643598615916955,0.6643598615916955,0.0,0.0,0.0
349.0,0.0,0.0,192.0,0.0,1056.0,809.0,3.0,15.87173752,349.0,0.5501432664756447,0.5501432664756447,0.0,0.0,0.0
186.2,124.1,0.0,185.7,0.0,1083.4,764.3,7.0,7.995853172,310.29999999999995,0.9973147153598282,0.5984531098936513,0.0,0.0,0.3999355462455688
277.0,0.0,0.0,191.0,0.0,968.0,856.0,360.0,33.70158688,277.0,0.6895306859205776,0.6895306859205776,0.0,0.0,0.0
309.9,142.8,111.2,167.8,22.1,913.9,651.2,28.0,38.21558625199999,563.9,0.5414649887060343,0.29757049122184787,0.039191345983330385,0.19719808476680264,0.25323638943075016
303.6,139.9,0.0,213.5,6.2,895.5,722.5,28.0,33.419591196,443.5,0.703227931488801,0.4813979706877114,0.013979706877113867,0.0,0.315445321307779
162.0,207.0,172.0,216.0,10.0,822.0,638.0,28.0,39.84481804,541.0,1.3333333333333333,0.39926062846580407,0.018484288354898338,0.3179297597042514,0.3826247689463956
181.9,272.8,0.0,185.7,0.0,1012.4,714.3,7.0,12.37264682,454.70000000000005,1.0208905992303463,0.40840114361117213,0.0,0.0,0.5999560149549152
275.0,0.0,0.0,183.0,0.0,1088.0,808.0,28.0,24.49708228,275.0,0.6654545454545454,0.6654545454545454,0.0,0.0,0.0
439.0,177.0,0.0,186.0,11.1,884.9,707.9,56.0,71.69860924,616.0,0.42369020501138954,0.30194805194805197,0.01801948051948052,0.0,0.28733766233766234
214.9,53.8,121.89,155.63,9.61,1014.3,780.58,14.0,38.60376124,390.59000000000003,0.7241973010702653,0.3984485009856883,0.024603804500883276,0.31206636114595865,0.1377403415346015
167.35,129.9,128.62,175.46,7.79,1006.3,746.6,56.0,51.72448952,425.87,1.0484613086345982,0.4120036630896753,0.01829196703219292,0.3020170474557964,0.3050226594970296
246.83,0.0,125.08,143.3,11.99,1086.8,800.89,100.0,66.42411784,371.91,0.5805615200745452,0.3853082735070313,0.03223898254954156,0.33631792638003816,0.0
387.0,20.0,94.0,157.0,13.93,938.0,845.0,56.0,47.96684532,501.0,0.40568475452196384,0.313373253493014,0.02780439121756487,0.18762475049900199,0.03992015968063872
277.0,117.0,91.0,191.0,7.0,946.0,666.0,28.0,43.5748832,485.0,0.6895306859205776,0.3938144329896907,0.01443298969072165,0.18762886597938144,0.24123711340206186
149.0,118.0,92.0,183.0,7.0,953.0,780.0,28.0,23.51802636,359.0,1.2281879194630871,0.5097493036211699,0.019498607242339833,0.2562674094707521,0.3286908077994429
475.0,0.0,0.0,228.0,0.0,932.0,594.0,365.0,41.934619796,475.0,0.48,0.48,0.0,0.0,0.0
374.0,189.2,0.0,170.1,10.1,926.1,756.7,3.0,34.39795764,563.2,0.4548128342245989,0.3020241477272727,0.017933238636363633,0.0,0.33593749999999994
387.0,20.0,94.0,157.0,14.32,938.0,845.0,28.0,50.23522136,501.0,0.40568475452196384,0.313373253493014,0.028582834331337327,0.18762475049900199,0.03992015968063872
385.0,0.0,136.0,158.0,20.0,903.0,768.0,28.0,55.55108132,521.0,0.4103896103896104,0.30326295585412666,0.03838771593090211,0.26103646833013433,0.0
359.0,19.0,141.0,154.0,10.91,942.0,801.0,7.0,38.610656,519.0,0.42896935933147634,0.29672447013487474,0.021021194605009633,0.27167630057803466,0.036608863198458574
162.0,190.1,148.1,178.8,18.8,838.1,741.4,28.0,33.762260768,500.20000000000005,1.1037037037037039,0.35745701719312273,0.03758496601359456,0.29608156737305075,0.3800479808076769
374.0,0.0,0.0,190.0,7.0,1013.0,730.0,28.0,39.05192064,374.0,0.5080213903743316,0.5080213903743316,0.01871657754010695,0.0,0.0
218.85,0.0,124.13,158.49,11.33,1078.7,794.91,28.0,30.21973308,342.98,0.7241946538725155,0.4620969152720275,0.033033996151379086,0.3619161467140941,0.0
260.9,100.5,78.3,200.6,8.6,864.5,761.5,28.0,32.401235144,439.7,0.7688769643541588,0.4562201501023425,0.01955879008414828,0.17807596088241984,0.22856493063452354
350.0,0.0,0.0,203.0,0.0,974.0,775.0,56.0,29.97841648,350.0,0.58,0.58,0.0,0.0,0.0
200.0,133.0,0.0,192.0,0.0,965.4,806.2,3.0,11.41427518,333.0,0.96,0.5765765765765766,0.0,0.0,0.3993993993993994
212.0,141.3,0.0,203.5,0.0,973.4,750.0,28.0,33.003837168,353.3,0.9599056603773585,0.5759977356354373,0.0,0.0,0.39994339088593267
190.0,190.0,0.0,228.0,0.0,932.0,670.0,180.0,46.93194184399999,380.0,1.2,0.6,0.0,0.0,0.5
251.37,0.0,118.27,188.45,5.75,1028.4,757.73,56.0,36.96970312,369.64,0.7496916895413135,0.5098203657612812,0.015555675792663133,0.31995996104317714,0.0
401.8,94.7,0.0,147.4,11.4,946.8,852.1,91.0,75.49762199999999,496.5,0.3668491786958686,0.29687814702920445,0.022960725075528703,0.0,0.19073514602215508
254.0,0.0,0.0,198.0,0.0,968.0,863.0,3.0,9.307926,254.0,0.7795275590551181,0.7795275590551181,0.0,0.0,0.0
350.0,0.0,0.0,203.0,0.0,974.0,775.0,90.0,31.35047372,350.0,0.58,0.58,0.0,0.0,0.0
362.6,189.0,0.0,164.9,11.6,944.7,755.8,3.0,35.3011712,551.6,0.4547710976282405,0.2989485134155185,0.021029731689630165,0.0,0.3426395939086294
